metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
ip_dest_first_two_thirds_count,19.1489,470,21.9778,18.2772,19.419,20.1688,16.3299,90,101,105,77,97,7
ip_dest_first_two_thirds_p90,1.0248,470,1.0582,0.9964,1.0192,0.9922,1.0553,90,101,105,77,97,0.4659763313609468
key_passes,0.8582,477,0.8095,0.8697,0.8643,0.9107,0.8422,90,103,108,78,98,1.398
leth_grade_blend,6.8486,470,6.858,6.8521,6.8742,6.8499,6.8077,90,101,105,77,97,7.14
leth_grade_pass_pool,6.9001,314,6.8031,7.0326,6.9358,6.9198,6.7831,67,72,64,56,55,7.22
leth_grade_rel_pool,6.9,314,6.7972,7.0464,6.9281,6.9234,6.7773,67,72,64,56,55,7.29
leth_grade_threat,6.8445,470,6.8338,6.8249,6.875,6.8281,6.8547,90,101,105,77,97,7.22
leth_grade_threat_pool,6.9,314,6.8424,7.0315,6.8727,6.8845,6.8456,67,72,64,56,55,7.28
leth_grade_xpv,6.8527,470,6.8811,6.8797,6.8729,6.8721,6.7608,90,101,105,77,97,7.06
leth_grade_xpv_pool,6.9,314,6.7627,7.0351,6.9975,6.9548,6.7211,67,72,64,56,55,7.16
leth_impact_rate_pct,6.1387,470,6.0378,6.2535,6.1533,6.1182,6.1134,90,101,105,77,97,7.1
leth_xpv_per_pass,0.3424,466,0.3406,0.3478,0.3452,0.3456,0.3328,90,100,104,76,96,0.3551
leth_z_threat,0.0,470,-0.049,0.1023,0.0235,-0.0394,-0.0552,90,101,105,77,97,0.5394
leth_z_xpv,-0.0,470,-0.0449,0.1819,0.125,0.0493,-0.3222,90,101,105,77,97,-0.0151
long_ball_completion_pct,66.5677,477,66.3211,68.5039,65.3759,63.7654,68.3031,90,103,108,78,98,67.8
long_balls,6.5654,477,6.2392,6.7347,6.6264,6.1801,6.9265,90,103,108,78,98,3.928
long_balls_completed,81.4067,477,90.1778,83.0485,81.9722,78.5897,73.2449,90,103,108,78,98,40
long_impact_eff_pct,97.4843,477,100.0,97.0874,95.3704,96.1538,98.9796,90,103,108,78,98,100.0
long_impact_passes,21.1824,477,26.0444,21.932,18.463,21.5513,18.6327,90,103,108,78,98,10
long_impact_per_long_pass,0.247,477,0.2483,0.2448,0.246,0.2452,0.2504,90,103,108,78,98,0.2323
long_pass_share_pct,10.6926,470,10.0333,11.2802,11.119,10.1117,10.6918,90,101,105,77,97,7.7
long_pass_share_pctile,50.654,470,44.2967,57.5693,52.261,47.2455,50.3186,90,101,105,77,97,30.3
long_pass_share_peer_avg_pct,11.4,470,11.4,11.4,11.4,11.4,11.4,90,101,105,77,97,11.4
long_pass_share_peer_count,200.0,470,200.0,200.0,200.0,200.0,200.0,90,101,105,77,97,200
long_pass_share_peer_span_pp,5.0,470,5.0,5.0,5.0,5.0,5.0,90,101,105,77,97,5.0
long_pass_share_ref_avg_pct,11.4,470,11.4,11.4,11.4,11.4,11.4,90,101,105,77,97,11.4
long_pass_share_ref_count,200.0,470,200.0,200.0,200.0,200.0,200.0,90,101,105,77,97,200
long_pass_share_ref_span_pp,5.0,470,5.0,5.0,5.0,5.0,5.0,90,101,105,77,97,5.0
market_value_eur,16636813.1868,455,32970114.9425,11879797.9798,11600000.0,14064383.5616,13993085.1064,87,99,102,73,94,4000000
matches_played,29.7596,470,31.7556,32.2772,32.1905,28.3377,23.7835,90,101,105,77,97,35
midfield_offensive_origin_pct,53.5468,477,54.0767,54.4408,53.5556,54.5577,51.3061,90,103,108,78,98,69.1
minutes,1629.8029,477,1902.1889,1642.932,1634.1204,1685.4359,1316.8163,90,103,108,78,98,1352
minutes_pct,0.5101,477,0.5562,0.4804,0.4778,0.5794,0.4793,90,103,108,78,98,0.3953
pass_attempts,885.1159,466,1019.9556,875.81,861.9231,913.3947,771.1354,90,100,104,76,96,607
pass_buildup_display,6.0014,470,6.0665,6.1636,5.7059,5.9837,6.1059,90,101,105,77,97,6.695364238410596
pass_buildup_index,-0.0,470,0.0215,0.0501,-0.1158,-0.0163,0.0661,90,101,105,77,97,0.20393112885555573
pass_chance_creation_display,6.0001,470,6.0852,5.6856,5.8169,6.2825,6.2229,90,101,105,77,97,7.529801324503311
pass_chance_creation_index,-0.0,470,0.0469,-0.1795,-0.0873,0.1287,0.1356,90,101,105,77,97,0.5595325835388034
pass_completion_pct,83.2193,477,83.6889,84.0243,82.6556,81.2192,84.1551,90,103,108,78,98,85.8
pass_efficiency_display,6.0005,470,6.0993,6.1966,5.724,5.7383,6.2123,90,101,105,77,97,7.291390728476821
