metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
xp_dist_index_short_eligible,0.7,470,0.7778,0.7624,0.6381,0.7273,0.6082,90,101,105,77,97,True
xp_dist_index_short_min_passes,375.9651,470,378.8133,373.8099,377.379,371.3377,377.7093,90,101,105,77,97,342.0
xp_edge_display,47.9691,314,43.5716,44.9667,46.5438,45.4857,61.4436,67,72,64,56,55,52.5
xp_edge_index,-0.0,314,-0.0911,0.1742,0.0496,0.004,-0.1789,67,72,64,56,55,0.18391246359256633
xp_efficiency_display,6.9009,314,6.9476,6.9853,6.9055,6.7966,6.8342,67,72,64,56,55,7.61
xp_efficiency_display_base,6.0006,314,6.1486,6.1583,5.9227,5.5591,6.1542,67,72,64,56,55,7.0588235294117645
xp_efficiency_index,6.0005,314,6.1344,6.2037,5.8944,5.6423,6.0594,67,72,64,56,55,7.3235
xp_final_third_share,0.4427,470,0.4514,0.4417,0.4294,0.4562,0.4392,90,101,105,77,97,0.6399946759895516
xp_finisher_pass_index,-0.0,470,0.2456,-0.1917,-0.0715,0.1553,-0.0742,90,101,105,77,97,0.5989655444335814
xp_from_deep,1.6186,470,2.0335,1.3247,1.6766,1.7204,1.3964,90,101,105,77,97,0.0
xp_from_deep_share,0.0062,470,0.0064,0.0049,0.0062,0.0069,0.0068,90,101,105,77,97,0.0
xp_game_grade_mad,0.5878,469,0.6359,0.5903,0.5722,0.5764,0.5668,90,100,105,77,97,0.54
xp_game_grade_mean,5.9042,469,5.9256,5.9173,5.9161,5.8905,5.869,90,100,105,77,97,5.76
xp_game_mean,9.5038,470,10.0915,9.4248,9.1466,9.5965,9.3541,90,101,105,77,97,7.399260180547506
xp_games_above_median_pct,0.4889,470,0.4903,0.4899,0.4907,0.489,0.4843,90,101,105,77,97,0.48
xp_idx_consistency,-0.0,314,-0.163,0.0808,-0.0177,0.1618,-0.0515,67,72,64,56,55,0.5108110911133898
xp_inversion_total,1.873,470,2.0736,1.9341,1.723,1.7919,1.85,90,101,105,77,97,1.5343455720247983
xp_line_break_total,23.904,470,26.5017,23.991,24.6441,25.5578,19.2891,90,101,105,77,97,24.011573295457996
xp_m4_mean_long,0.5465,470,0.5513,0.552,0.5305,0.5535,0.5481,90,101,105,77,97,0.5573469430005865
xp_m4_mean_short,0.3175,470,0.3165,0.322,0.3211,0.3218,0.3067,90,101,105,77,97,0.3382279143319421
xp_m4_p90,0.6771,470,0.6738,0.6805,0.6745,0.6849,0.6734,90,101,105,77,97,0.7012926421938216
xp_m4_per_pass,0.3423,470,0.3406,0.348,0.3447,0.3454,0.3327,90,101,105,77,97,0.3550508723871164
xp_m4_per_pass_final_third,0.4335,470,0.4305,0.4339,0.4339,0.4332,0.4359,90,101,105,77,97,0.4320699928660486
xp_m4_per_pass_long,0.5465,470,0.5513,0.552,0.5305,0.5535,0.5481,90,101,105,77,97,0.5573469430005865
xp_m4_per_pass_short,0.3175,470,0.3165,0.322,0.3211,0.3218,0.3067,90,101,105,77,97,0.3382279143319421
xp_m4_per_threat_pass,0.7537,470,0.752,0.7547,0.7534,0.7554,0.7529,90,101,105,77,97,0.7648293268732099
xp_m4_per_threat_pass_sub_display,6.0,314,5.7989,6.2203,6.1574,5.977,5.797,67,72,64,56,55,6.529411764705882
xp_m4_per_threat_pass_sub_index,88.2866,314,85.9701,88.9306,95.0469,85.3214,85.4182,67,72,64,56,55,61.0
xp_m4_threat_long,6.1383,470,6.8444,5.7723,6.3619,6.4935,5.3402,90,101,105,77,97,3
xp_m4_threat_long_p90,0.3216,470,0.308,0.3043,0.3259,0.3251,0.3447,90,101,105,77,97,0.19970414201183434
xp_m4_threat_passes,51.2638,470,59.1222,48.7624,52.5714,54.1429,42.8763,90,101,105,77,97,41
xp_m4_threat_passes_p90,2.0602,470,2.0888,1.9592,2.0188,2.093,2.1578,90,101,105,77,97,2.08744098828561
xp_m4_threat_rate,0.0689,470,0.0691,0.0649,0.0707,0.073,0.0676,90,101,105,77,97,0.07869481765834933
xp_m4_threat_rate_long,0.0779,470,0.0752,0.0712,0.0782,0.0896,0.0776,90,101,105,77,97,0.075
xp_m4_threat_rate_short,0.0682,470,0.0686,0.0646,0.0701,0.0716,0.0667,90,101,105,77,97,0.079002079002079
xp_m4_threat_short,45.1255,470,52.2778,42.9901,46.2095,47.6494,37.5361,90,101,105,77,97,38
xp_m4_threat_short_p90,2.41,470,2.4634,2.2914,2.3505,2.4462,2.5196,90,101,105,77,97,2.5295857988165684
xp_m4_threat_xp_total,38.7084,470,44.5733,36.8984,39.7503,40.8775,32.3016,90,101,105,77,97,31.358002401801606
xp_m4_total,256.4355,470,294.6787,258.2901,253.8231,260.4366,218.6729,90,101,105,77,97,184.98150451368764
xp_m4_total_long,45.4727,470,50.5454,46.9534,45.3875,43.7388,40.6931,90,101,105,77,97,22.29387772002346
xp_m4_total_short,210.9628,470,244.1333,211.3367,208.4357,216.6978,177.9798,90,101,105,77,97,162.68762679366415
xp_max_pass,0.9102,470,0.9126,0.9101,0.9089,0.9114,0.9085,90,101,105,77,97,0.9108453018146216
xp_pass_cv,0.6812,470,0.6825,0.6676,0.6736,0.6746,0.7078,90,101,105,77,97,0.6378928040001842
xp_pass_rating,0.6893,470,0.6903,0.696,0.6878,0.6821,0.6886,90,101,105,77,97,0.7085
xp_pass_rating_composite_z,0.0,470,0.0073,0.0922,-0.0179,-0.0998,-0.0042,90,101,105,77,97,0.2631
xp_pass_rating_confidence,0.9238,470,0.9633,0.9374,0.9261,0.9284,0.8667,90,101,105,77,97,1.0
xp_pass_rating_percentile_display,6.8934,470,6.9037,6.9599,6.8779,6.8201,6.8894,90,101,105,77,97,7.08
xp_pass_rating_raw_display,6.8934,470,6.9037,6.9599,6.8779,6.8201,6.8894,90,101,105,77,97,7.08
xp_pass_rating_uncertainty,0.0301,470,0.0144,0.0247,0.0295,0.0284,0.0525,90,101,105,77,97,0.0
xp_pass_std,0.2318,470,0.2313,0.2312,0.2309,0.2319,0.234,90,101,105,77,97,0.22648439654972927
xp_per_90,13.8724,470,13.8392,14.2176,13.1743,13.744,14.4015,90,101,105,77,97,12.313857548988084
xp_per_90_sub_display,6.0,314,5.9888,6.0108,5.9103,5.7816,6.3263,67,72,64,56,55,5.235294117647059
xp_per_90_sub_index,88.2866,314,92.2388,83.3472,87.9375,75.5536,103.3091,67,72,64,56,55,39.0
xp_profile_bars_eligible,0.6681,470,0.7444,0.7129,0.6095,0.7273,0.567,90,101,105,77,97,True
xp_profile_min_minutes_pct,0.3,470,0.3,0.3,0.3,0.3,0.3,90,101,105,77,97,0.3
xp_profile_min_passes,417.5621,470,421.7267,414.4109,419.6295,410.7961,420.1124,90,101,105,77,97,367.9
xp_profile_p30_min_passes,417.5621,470,421.7267,414.4109,419.6295,410.7961,420.1124,90,101,105,77,97,367.9
xp_progressor_index,-0.0,470,0.03,-0.0307,-0.0418,0.1047,-0.0337,90,101,105,77,97,-0.5071523692498566
xp_quality_display,6.0,314,5.8653,6.1474,5.9442,5.9543,6.0825,67,72,64,56,55,6.588235294117647
xp_quality_index,88.2866,314,89.9701,86.7778,85.7656,85.2857,94.2,67,72,64,56,55,62.0
xp_residual_mean,0.0068,470,0.0071,0.0053,0.0065,0.0082,0.0074,90,101,105,77,97,0.014029810841173858
xp_residual_median,-0.004,470,-0.0037,-0.004,-0.0044,-0.004,-0.004,90,101,105,77,97,-0.0009889503211984452
xp_residual_median_sub_display,6.0,314,5.8653,6.1474,5.9442,5.9543,6.0825,67,72,64,56,55,6.588235294117647
xp_residual_median_sub_index,88.2866,314,89.9701,86.7778,85.7656,85.2857,94.2,67,72,64,56,55,62.0
xp_residual_negative,-0.036,470,-0.0358,-0.0365,-0.0365,-0.0361,-0.0348,90,101,105,77,97,-0.033850414614321866
xp_residual_positive,0.0428,470,0.0429,0.0418,0.043,0.0444,0.0422,90,101,105,77,97,0.04788022545549572
xp_surprise_rate,0.4782,470,0.4794,0.4791,0.4771,0.4778,0.4776,90,101,105,77,97,0.491362763915547
xp_threat_conversion,0.2746,470,0.2757,0.2589,0.282,0.2908,0.2693,90,101,105,77,97,0.31297709923664124
xp_threat_mean_residual,0.2395,470,0.2389,0.2395,0.2389,0.2405,0.2397,90,101,105,77,97,0.22755087476052524
xp_threat_mean_xp,0.7537,470,0.752,0.7547,0.7534,0.7554,0.7529,90,101,105,77,97,0.7648293268732099
xpass_coe_high_pct,-1.3124,434,-1.5218,-1.7449,-1.9513,-0.4469,-0.6433,85,94,97,75,83,1.07
xpass_coe_pct,-0.2155,466,0.1694,0.0883,-0.4656,-1.3375,0.2661,90,100,104,76,96,2.51
xpass_coe_stratum_star,0.2574,470,0.3,0.3069,0.2571,0.1688,0.2371,90,101,105,77,97,True
xpass_expected_pct,83.3782,466,83.5183,83.8549,83.2063,82.1917,83.8755,90,100,104,76,96,83.61
xpass_hard_coe_pct,-1.3113,447,-1.1652,-1.4461,-2.3381,-1.1389,-0.2634,87,97,101,75,87,0.81
xpass_high_difficulty_p90,2.8077,466,3.0833,2.525,2.7305,3.1535,2.6535,90,100,104,76,96,2.2
xpass_long_coe_pct,-0.0823,436,0.2136,0.2401,-0.7174,-0.0511,-0.0519,86,95,96,74,85,-0.51
xpass_long_coe_stratum_star,0.2383,470,0.2556,0.2475,0.1905,0.2857,0.2268,90,101,105,77,97,False
xpass_residual_p90,0.202,466,0.2774,0.27,0.1316,-0.019,0.3114,90,100,104,76,96,0.539
xpass_total_coe_pct,-0.185,466,0.1678,0.1262,-0.4686,-1.1355,0.2197,90,100,104,76,96,2.22
xpv_per_pass,0.3424,466,0.3406,0.3478,0.3452,0.3456,0.3328,90,100,104,76,96,0.3551
xpv_per_pass_sub_display,6.0033,314,5.648,6.2833,6.2648,6.1391,5.6271,67,72,64,56,55,5.882352941176471
xpv_per_pass_sub_index,88.3854,314,82.806,89.1806,98.625,88.5,82.1091,67,72,64,56,55,50.0
